Company Name,Industry,Symbol,Series,ISIN Code
ICICI Securities Ltd.,Financial Services,ISEC,EQ,INE763G01038
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER,EQ,INE531A01024
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME,EQ,INE281B01032
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01012
Metro Brands Ltd.,Consumer Durables,METROBRAND,EQ,INE317I01021
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
NHPC Ltd.,Power,NHPC,EQ,INE848E01016
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,EQ,INE179A01014
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
SJVN Ltd.,Power,SJVN,EQ,INE002L01015
SKF India Ltd.,Capital Goods,SKFINDIA,EQ,INE640A01023
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,EQ,INE575P01011
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ,INE258G01013
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013
Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST,EQ,INE387A01021
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
The New India Assurance Company Ltd.,Financial Services,NIACL,EQ,INE470Y01017
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037
Thermax Ltd.,Capital Goods,THERMAX,EQ,INE152A01029
Timken India Ltd.,Capital Goods,TIMKEN,EQ,INE325A01013
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,INE686F01025
Vedant Fashions Ltd.,Consumer Services,MANYAVAR,EQ,INE825V01034
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA,EQ,INE342J01019
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
